Id,SalePrice
1461,116548.65889787536
1462,156947.55252967865
1463,177082.706372548
1464,198722.4444999709
1465,190962.79352159475
1466,171076.76625294302
1467,170942.25609084748
1468,166019.7105972744
1469,186862.77775759329
1470,121774.19422733856
1471,179613.81888271007
1472,96734.34214232655
1473,94918.19109664316
1474,148530.68987272243
1475,118393.90631831136
1476,358784.0794964661
1477,249471.13023157752
1478,310724.1890279488
1479,313714.978552707
1480,480061.4994422752
1481,326877.6052310921
1482,220601.84653636155
1483,174169.39805888507
1484,169557.630419133
1485,189666.48641493177
1486,191802.2709402549
1487,316685.13657473924
1488,230582.05585800408
1489,192253.83168976608
1490,213818.51342904725
1491,194404.44890615172
1492,92262.8907974257
1493,191621.57438050062
1494,276172.6232444581
1495,274632.1198353061
1496,233949.74155607814
1497,173430.93932763976
1498,172948.22846343217
1499,165074.97763988515
1500,156391.77284972218
1501,172171.5016019263
1502,151553.07152396406
1503,280109.59338294854
1504,237302.1855608392
1505,220389.61852589657
1506,183234.24417861202
1507,243294.88307588245
1508,201681.82893547576
1509,164930.68929068698
1510,143507.47686560737
1511,140102.4286492979
1512,158592.21465435298
1513,143739.93032222474
1514,138276.66352389165
1515,196428.34480450262
1516,143578.40238248263
1517,161158.74488002746
1518,129101.31093133573
1519,206760.15303368925
1520,132428.68025759328
1521,134131.89436467784
1522,163817.3714898192
1523,113234.7144335981
1524,123306.45593086164
1525,119895.79015421863
1526,108929.9047319504
1527,107662.61533391001
1528,133526.96320701978
1529,150876.40516133927
1530,186544.05181169877
1531,117675.38449132552
1532,96729.03720829553
1533,140197.12371900748
1534,121409.96958411759
1535,144390.41123451872
1536,109116.85955990833
1537,63422.25580333728
1538,144835.55924022006
1539,191686.5011169875
1540,90448.32170787177
1541,144697.60755494484
1542,136598.50686239265
1543,199119.61197908543
1544,83505.01569818337
1545,109923.52656371493
1546,135541.89286271652
1547,139924.65814800852
1548,136457.10228195234
1549,115910.29969142878
1550,138221.06663062712
1551,106579.01241225551
1552,138371.0107201492
1553,141689.3802954614
1554,116361.38357306624
1555,156823.4368483516
1556,91073.73785934984
1557,93386.17345817063
1558,100899.58197388405
1559,80348.0715655521
1560,133513.8801212739
1561,115812.83066725267
1562,131188.7865137168
1563,117118.1208033851
1564,154564.57792930974
1565,148140.42530709758
1566,239195.0738828191
1567,77615.54654518234
1568,226948.53607394188
1569,126869.53453371994
1570,141326.37375196785
1571,117697.88500824285
1572,137957.52931674407
1573,235132.6131565759
1574,117842.8993049634
1575,212398.0254703029
1576,242866.41010266918
1577,199547.44200282398
1578,149234.1720998055
1579,138874.71070578898
1580,199430.5199915268
1581,151331.62368830194
1582,129701.57493593113
1583,290150.98739691824
1584,218536.25364971138
1585,138671.80492296634
1586,76452.86445647816
1587,100672.47585487744
1588,146005.06491814868
1589,91997.600577096
1590,133227.44886090342
1591,94698.31902024028
1592,121385.99156335555
1593,126309.12668966329
1594,142888.75783942454
1595,102600.80084726281
1596,231110.17208403483
1597,195028.03454000712
1598,221821.18933644574
1599,165262.38078347902
1600,168676.90797734505
1601,67371.4297392091
1602,107729.21887241807
1603,90577.86988125087
1604,259268.4517189496
1605,242850.96638899785
1606,173804.45429598994
1607,169223.36045701592
1608,222412.99112693645
1609,186689.78577785526
1610,152752.02501413756
1611,138518.09800065123
1612,175445.9082809032
1613,161661.418460156
1614,118726.18574423334
1615,90226.87422365136
1616,75622.34397465919
1617,94203.31719791083
1618,127884.16714700208
1619,138146.1978364253
1620,170549.44086053647
1621,136935.8013195495
